post_href,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor,city_and_added_time
/items/4836484,True,False,True,,125 000AZN,Biləcəri q.,3 otaqlı,70 m²,5/5 mərtəbə,"Bakı, bugün 22:14"
/items/4435671,False,False,False,,230 000AZN,Elmlər Akademiyası m.,3 otaqlı,130 m²,6/16 mərtəbə,"Bakı, bugün 22:03"
/items/4831177,True,False,True,,93 000AZN,Memar Əcəmi m.,1 otaqlı,35 m²,4/5 mərtəbə,"Bakı, bugün 22:02"
/items/4819545,True,True,True,,220 000AZN,Nəriman Nərimanov m.,2 otaqlı,67.3 m²,10/21 mərtəbə,"Bakı, bugün 22:02"
/items/4738965,False,True,False,Kompleks,694 080AZN,Nizami m.,4 otaqlı,241 m²,3/16 mərtəbə,"Bakı, bugün 22:02"
/items/4737494,False,True,False,Kompleks,782 320AZN,Nizami m.,5 otaqlı,254 m²,14/16 mərtəbə,"Bakı, bugün 22:02"
/items/4707491,True,True,True,,165 000AZN,Azadlıq Prospekti m.,2 otaqlı,60 m²,16/17 mərtəbə,"Bakı, bugün 22:02"
/items/4735337,False,True,False,Kompleks,1 535 580AZN,Nizami m.,8 otaqlı,449 m²,15/16 mərtəbə,"Bakı, bugün 22:01"
/items/4836483,True,True,True,,58 500AZN,Abşeron r.,2 otaqlı,36 m²,8/11 mərtəbə,"Bakı, bugün 22:01"
/items/4690404,False,True,False,Kompleks,516 600AZN,Nizami m.,3 otaqlı,164 m²,16/16 mərtəbə,"Bakı, bugün 22:01"
/items/4836482,True,False,True,,400 000AZN,28 May m.,3 otaqlı,121 m²,6/18 mərtəbə,"Bakı, bugün 22:01"
/items/4735338,False,True,False,Kompleks,1 309 630AZN,Nizami m.,5 otaqlı,371 m²,15/16 mərtəbə,"Bakı, bugün 22:01"
/items/4738839,True,False,True,,87 000AZN,Köhnə Günəşli q.,2 otaqlı,35 m²,9/9 mərtəbə,"Bakı, bugün 22:01"
/items/4735339,False,True,False,Kompleks,1 258 560AZN,Nizami m.,5 otaqlı,368 m²,15/16 mərtəbə,"Bakı, bugün 22:01"
