post_id,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor_number,total_floors,region,added_time
4531219,True,True,True,Agentlik,325000,Elmlər Akademiyası m.,3,145.0,14,18,Bakı,2024-12-14 23:38:00
4831096,True,True,True,default,172000,İnşaatçılar m.,2,74.0,12,20,Bakı,2024-12-14 23:47:00
4780061,True,False,True,Agentlik,380000,Qara Qarayev m.,3,140.0,14,16,Bakı,2024-12-14 23:37:00
4819788,True,False,True,default,950000,Elmlər Akademiyası m.,7,350.0,15,20,Bakı,2024-12-14 23:36:00
4802852,True,False,True,Agentlik,326000,Qara Qarayev m.,3,137.0,14,14,Bakı,2024-12-14 23:35:00
4836557,True,False,True,default,110000,Nərimanov r.,2,45.0,4,5,Bakı,2024-12-14 23:35:00
4826682,True,False,True,Agentlik,235000,Qara Qarayev m.,3,95.0,13,14,Bakı,2024-12-14 23:31:00
4780240,True,True,True,default,199000,Bakıxanov q.,4,160.0,11,14,Bakı,2024-12-14 23:31:00
4836556,True,True,True,Agentlik,360000,Nəriman Nərimanov m.,3,90.0,16,17,Bakı,2024-12-14 23:31:00
4457954,True,False,True,default,170000,28 May m.,3,68.0,2,4,Bakı,2024-12-14 23:30:00
4698078,True,False,True,default,285000,Nəriman Nərimanov m.,3,135.0,2,19,Bakı,2024-12-14 23:30:00
4833996,True,True,False,Agentlik,299000,Nəriman Nərimanov m.,4,190.0,15,16,Bakı,2024-12-14 23:30:00
4652855,True,False,True,default,300000,20 Yanvar m.,4,127.0,9,18,Bakı,2024-12-14 23:29:00
4755024,True,True,True,default,159900,Azadlıq Prospekti m.,2,61.0,10,14,Bakı,2024-12-14 23:29:00
4417305,True,False,True,default,98000,Neftçilər m.,1,30.0,3,5,Bakı,2024-12-14 23:28:00
4777744,True,True,True,Agentlik,233000,Nəriman Nərimanov m.,2,102.0,14,15,Bakı,2024-12-14 23:39:00
4552384,True,True,False,Agentlik,335000,Nəriman Nərimanov m.,3,151.0,5,14,Bakı,2024-12-14 23:27:00
4705497,False,False,True,default,272000,Neftçilər m.,3,119.0,8,18,Bakı,2024-12-14 23:27:00
4826145,True,True,True,Agentlik,357000,Ağ şəhər q.,3,82.0,5,8,Bakı,2024-12-14 23:25:00
4352066,False,False,False,Kompleks,372600,Ağ şəhər q.,2,81.0,4,20,Bakı,2024-12-14 23:24:00
4351913,False,False,False,Kompleks,451200,Ağ şəhər q.,3,117.0,6,7,Bakı,2024-12-14 23:23:00
4352079,False,False,False,Kompleks,535000,Ağ şəhər q.,3,135.0,10,20,Bakı,2024-12-14 23:22:00
4240333,False,False,False,Kompleks,448600,Ağ şəhər q.,3,118.0,3,8,Bakı,2024-12-14 23:22:00
4240467,False,False,False,Kompleks,500000,Şah İsmayıl Xətai m.,3,135.0,2,7,Bakı,2024-12-14 23:22:00
4352182,False,False,False,Kompleks,524000,Ağ şəhər q.,3,136.0,3,8,Bakı,2024-12-14 23:21:00
4733742,True,False,True,Agentlik,232000,Həzi Aslanov m.,3,117.0,11,16,Bakı,2024-12-14 23:56:00
4824168,True,False,True,default,129000,Nəsimi r.,2,52.0,4,5,Bakı,2024-12-14 23:19:00
4574657,True,False,True,Agentlik,160000,Neftçilər m.,3,71.0,13,19,Bakı,2024-12-14 23:18:00
4758114,True,False,True,Agentlik,265000,Xalqlar Dostluğu m.,3,103.0,10,16,Bakı,2024-12-14 23:18:00
4836546,False,False,True,default,480000,Gənclik m.,3,140.0,6,17,Bakı,2024-12-14 23:17:00
4641464,False,False,True,default,555000,Ağ şəhər q.,3,140.0,4,7,Bakı,2024-12-14 23:16:00
4836545,False,False,True,default,325000,Nərimanov r.,3,102.0,10,14,Bakı,2024-12-14 23:16:00
4641399,True,False,True,default,685000,Ağ şəhər q.,4,160.0,2,6,Bakı,2024-12-14 23:16:00
4768341,True,False,True,default,129000,Bakıxanov q.,2,55.0,2,5,Bakı,2024-12-14 23:16:00
4836542,True,True,True,Agentlik,300000,Nizami m.,3,130.0,10,17,Bakı,2024-12-14 23:14:00
4824964,True,True,True,Agentlik,222000,28 May m.,2,68.0,6,15,Bakı,2024-12-14 23:39:00
4836541,False,False,True,default,249000,Nəriman Nərimanov m.,2,80.0,15,16,Bakı,2024-12-14 23:14:00
4826101,True,True,True,Agentlik,228000,28 May m.,3,95.0,14,14,Bakı,2024-12-14 23:14:00
4826050,True,True,True,Agentlik,330000,Sahil m.,6,220.0,4,5,Bakı,2024-12-14 23:39:00
4836539,True,False,True,default,115000,Elmlər Akademiyası m.,2,35.0,2,5,Bakı,2024-12-14 23:13:00
4406053,False,False,True,Agentlik,250000,Bayıl q.,3,110.0,4,6,Bakı,2024-12-14 23:11:00
4836536,True,True,True,default,240000,İnşaatçılar m.,2,90.0,11,17,Bakı,2024-12-14 23:48:00
4763126,True,True,True,default,163000,Biləcəri q.,3,90.0,3,9,Bakı,2024-12-14 23:11:00
4836534,False,False,True,default,235000,28 May m.,2,71.0,9,18,Bakı,2024-12-14 23:10:00
4836533,True,False,True,default,129000,Abşeron r.,4,130.0,14,16,Bakı,2024-12-14 23:09:00
4776749,True,True,True,Agentlik,325000,Nizami m.,3,115.0,5,15,Bakı,2024-12-14 23:06:00
4792563,False,False,True,default,239000,Nəsimi r.,2,65.0,14,18,Bakı,2024-12-14 23:04:00
4836526,True,False,True,default,190000,Qara Qarayev m.,3,76.0,4,4,Bakı,2024-12-13 23:04:00
4785563,True,True,True,Agentlik,145000,Həzi Aslanov m.,2,56.0,12,19,Bakı,2024-12-14 23:02:00
4825276,True,False,True,default,106000,Əhmədli q.,2,60.0,1,9,Bakı,2024-12-14 23:00:00
4640471,True,True,True,default,157000,Nəriman Nərimanov m.,2,57.0,5,5,Bakı,2024-12-14 22:59:00
